model,year,price,type,distance,fuel,tax,miles per galoon,size
7,2016,21995.0,2,28526.0,0,160,50.4,2.0
2,2015,13995.0,1,27016.0,0,30,62.8,2.0
2,2016,18498.0,2,29845.0,1,160,45.6,2.0
3,2017,20000.0,0,44783.0,0,145,62.8,2.0
7,2014,12300.0,0,43195.0,0,200,47.9,2.0
0,2017,12500.0,1,15735.0,1,150,55.4,1.4
0,2015,12995.0,1,20042.0,1,30,57.6,1.4
4,2019,30985.0,0,4445.0,0,145,47.9,2.0
9,2019,48348.63873015211,0,1510.0,0,145,33.2,3.0
7,2016,15500.0,0,11863.0,0,160,50.4,2.0
6,2019,22663.0,1,3657.0,0,145,49.6,1.6
2,2020,34798.0,2,6998.0,1,145,38.2,2.0
2,2017,14800.0,1,21225.0,0,145,72.4,2.0
6,2019,24368.0,1,4502.0,0,145,47.9,1.6
2,2020,40780.0,2,6746.0,0,145,45.6,2.0
4,2015,17100.0,0,32083.0,0,30,61.4,2.0
2,2017,19495.0,2,31214.0,0,30,67.3,2.0
9,2015,34995.0,2,21245.0,0,205,47.9,3.0
8,2017,25750.0,0,17039.0,0,145,55.4,2.0
6,2018,19990.0,1,16414.0,1,145,50.4,1.4
2,2017,18995.0,1,27394.0,0,30,64.2,2.0
2,2016,11750.0,1,72026.0,0,0,74.3,2.0
6,2018,21495.0,1,27198.0,1,145,50.4,1.4
0,2016,12995.0,1,29283.0,1,0,67.3,1.0
0,2017,11200.0,1,34824.0,1,0,67.3,1.0
1,2018,28995.0,2,17166.0,1,145,43.5,2.0
0,2016,14495.0,1,20905.0,1,30,56.5,1.4
0,2017,12800.0,1,20351.0,1,30,55.4,1.4
1,2018,26990.0,2,18283.0,1,145,44.1,2.0
0,2017,12995.0,1,24386.0,1,0,67.3,1.0
8,2018,27995.0,2,15076.0,0,145,56.5,2.0
12,2017,24995.0,2,11621.0,1,150,42.8,2.0
8,2017,25995.0,2,29330.0,0,145,56.5,2.0
1,2019,20985.0,2,3409.0,1,145,43.5,1.5
8,2016,33995.0,2,23478.0,0,235,42.2,3.0
6,2017,18995.0,1,17872.0,0,145,64.2,1.6
3,2019,30709.0,2,4327.0,1,145,39.8,2.0
9,2019,48136.0,2,4813.0,0,145,33.2,3.0
6,2019,24365.0,1,3578.0,0,145,47.9,1.6
4,2019,33295.0,2,4196.0,0,145,47.9,2.0
0,2015,13995.0,1,32065.0,1,30,55.4,1.4
5,2017,28995.0,2,15072.0,0,200,47.1,3.0
7,2017,16490.0,1,50286.0,0,145,61.4,2.0
7,2017,23995.0,2,25667.0,1,145,40.4,2.0
9,2017,35995.0,2,33165.0,0,200,47.9,3.0
6,2017,19995.0,1,27078.0,1,125,50.4,1.4
6,2017,19995.0,1,29874.0,1,125,50.4,1.4
4,2019,30990.0,2,10852.0,0,145,47.9,2.0
0,2017,14495.0,1,8608.0,1,145,67.3,1.0
12,2018,16498.0,1,34170.0,1,150,47.1,1.8
2,2013,10498.0,1,31169.0,1,145,49.6,1.8
1,2017,16000.0,1,26249.0,0,30,67.3,1.6
0,2018,15800.0,1,10793.0,1,145,56.5,1.4
1,2019,18490.0,1,10059.0,1,145,43.5,1.5
7,2017,19995.0,1,18380.0,1,145,49.6,1.4
8,2019,31998.0,2,100.0,1,145,33.2,2.0
2,2013,9498.0,0,42011.0,1,145,47.1,2.0
7,2017,15000.0,1,44898.0,0,125,57.7,2.0
2,2018,17200.0,0,25138.0,0,145,70.6,2.0
1,2019,18490.0,1,5985.0,1,145,43.5,1.5
7,2017,23995.0,2,27136.0,1,145,40.4,2.0
7,2019,35985.0,0,650.0,0,145,47.1,2.0
4,2015,19998.0,2,56115.0,0,160,50.4,3.0
7,2017,14000.0,1,67161.0,1,150,51.4,1.4
4,2015,14000.0,1,61176.0,0,30,62.8,2.0
2,2019,26490.0,2,6214.0,1,145,38.7,2.0
1,2016,13995.0,1,36409.0,1,20,60.1,1.4
8,2019,37985.0,0,10.0,0,145,38.2,2.0
4,2015,16798.0,2,65835.0,0,125,61.4,2.0
1,2018,18950.0,1,17992.0,1,150,54.3,1.5
0,2015,9500.0,0,54754.0,0,0,76.3,1.6
4,2017,27995.0,2,35219.0,0,150,50.4,3.0
8,2019,31998.0,2,10.0,1,145,33.2,2.0
4,2017,23998.0,2,63383.0,0,145,45.6,3.0
2,2016,10200.0,1,86477.00345229918,0,20,70.6,2.0
7,2017,16500.0,1,21369.0,1,125,51.4,1.4
6,2019,24995.0,1,2756.0,1,145,42.2,1.0
8,2018,33995.0,2,10252.0,1,150,40.4,2.0
2,2019,18998.0,1,2928.0,1,145,41.5,2.0
8,2017,36998.0,2,34011.0,1,145,34.0,3.0
0,2017,11700.0,1,19268.0,1,150,67.3,1.0
7,2014,15000.0,0,39190.0,0,205,47.9,2.0
4,2019,29490.0,2,4982.0,0,145,47.9,2.0
1,2018,17490.0,1,16380.0,0,145,67.3,1.6
7,2018,19485.0,1,7157.0,1,145,51.4,1.4
3,2014,13998.0,2,52132.0,0,160,49.6,3.0
1,2013,11500.0,0,51441.0,1,125,50.4,1.8
7,2017,16000.0,0,47482.0,1,150,47.9,1.4
7,2017,20995.0,2,22175.0,1,145,47.9,1.4
3,2020,37507.0,2,7639.0,1,145,39.8,2.0
2,2019,30995.0,0,10.0,1,145,38.7,2.0
7,2018,19100.0,0,42209.0,1,145,42.2,2.0
4,2015,13000.0,0,31604.0,0,20,67.3,2.0
7,2016,15700.0,0,28396.0,0,145,53.3,2.0
0,2018,14495.0,1,20106.0,1,145,67.3,1.0
8,2018,30995.0,2,15706.0,1,145,40.4,2.0
6,2017,16995.0,1,18068.0,1,145,52.3,1.4
0,2017,11400.0,1,29515.0,1,0,67.3,1.0
7,2016,15000.0,1,39134.0,0,30,60.1,2.0
8,2016,19000.0,0,37652.0,0,200,47.1,2.0
2,2019,26490.0,2,4836.0,0,145,48.7,2.0
5,2018,38995.0,2,6588.0,0,145,48.7,3.0
6,2017,14495.0,1,23043.0,1,150,55.4,1.0
2,2017,17300.0,0,45225.0,0,145,62.8,2.0
1,2015,15000.0,0,56291.0,1,200,42.8,1.8
3,2017,17300.0,0,37100.0,0,145,67.3,2.0
3,2019,35131.0,1,5721.0,1,145,37.2,2.0
1,2019,30995.0,2,4549.0,1,150,34.5,2.0
2,2019,32485.0,0,10.0,0,145,50.4,2.0
8,2014,17100.0,1,52267.0,1,235,37.7,2.0
0,2014,11000.0,1,34315.0,1,125,53.3,1.4
3,2017,22500.0,0,21649.0,0,145,58.9,3.0
2,2018,23995.0,2,13907.0,1,145,49.6,1.4
7,2020,33462.0,2,7914.0,0,145,48.7,2.0
1,2017,18998.0,2,22295.0,1,30,56.5,1.4
2,2017,18100.0,1,17278.0,1,145,48.7,1.4
7,2016,15900.0,1,32011.0,1,145,49.6,1.4
1,2014,13900.0,0,30516.0,1,30,56.5,1.4
8,2018,30995.0,2,7891.0,1,145,40.9,2.0
2,2019,25990.0,1,4598.0,1,145,38.2,2.0
1,2018,19995.0,1,25000.0,1,150,42.2,1.5
1,2014,11600.0,1,43662.0,0,20,67.3,2.0
8,2015,14700.0,0,86477.00345229918,0,205,47.1,2.0
7,2014,17000.0,1,34110.0,1,145,47.9,1.4
3,2019,34259.0,1,4587.0,1,145,37.2,2.0
9,2016,31995.0,2,48248.0,0,205,47.9,3.0
3,2014,12998.0,2,80902.0,0,125,60.1,2.0
4,2017,16400.0,1,45491.0,0,30,61.4,2.0
4,2016,16000.0,0,47767.0,0,20,61.4,2.0
8,2016,20200.0,0,23714.0,0,200,47.1,2.0
9,2019,48348.63873015211,2,4236.0,0,145,33.2,3.0
0,2019,18995.0,1,7564.0,1,145,51.4,1.0
0,2019,20485.0,1,10.0,1,145,48.7,1.0
1,2014,11498.0,2,40807.0,1,125,50.4,1.8
1,2016,10200.0,1,66369.0,0,0,83.1,1.6
4,2015,17500.0,0,62748.0,0,150,53.3,3.0
8,2015,21995.0,2,18188.0,0,200,47.1,2.0
5,2018,41995.0,2,11276.0,0,145,48.7,3.0
7,2019,34485.0,0,10.0,0,145,47.1,2.0
7,2014,11698.0,1,65959.0,0,160,49.6,2.0
4,2016,18500.0,1,34110.0,0,30,61.4,2.0
8,2016,20000.0,0,23789.0,0,200,47.1,2.0
3,2016,16995.0,1,41497.0,0,125,57.6,2.0
2,2016,19995.0,1,20141.0,0,30,67.3,2.0
7,2016,18698.0,1,26474.0,0,145,52.3,2.0
8,2014,18998.0,2,47648.0,1,260,35.8,2.0
0,2013,7000.0,1,76269.0,0,0,74.3,1.6
2,2017,18500.0,0,17418.0,0,145,62.8,2.0
0,2016,14995.0,1,13961.0,1,30,58.9,1.4
1,2016,16995.0,1,16555.0,1,20,60.1,1.4
8,2013,15998.0,2,65458.0,0,235,44.1,3.0
8,2017,25498.0,2,27948.0,1,145,40.9,2.0
1,2016,10600.0,1,37840.0,0,20,70.6,1.6
3,2017,19500.0,0,33300.0,0,145,61.4,2.0
7,2017,22995.0,1,14068.0,0,145,54.3,2.0
2,2020,31985.0,1,7456.0,1,145,40.9,2.0
1,2014,14995.0,2,27355.0,1,160,42.8,1.8
2,2014,11950.0,1,60604.0,0,20,67.3,2.0
0,2017,10800.0,1,31447.0,1,145,67.3,1.0
4,2016,16500.0,0,36203.0,0,20,64.2,2.0
1,2019,23995.0,1,2085.0,0,145,51.4,1.6
7,2016,21995.0,2,40254.0,1,205,40.4,2.0
1,2016,12995.0,1,25895.0,0,20,70.6,2.0
4,2016,13300.0,1,79728.0,0,30,64.2,2.0
1,2017,17100.0,1,29545.0,0,145,65.7,2.0
1,2019,17300.0,1,1998.0,1,145,49.6,1.0
6,2019,22997.0,1,6921.0,1,145,47.1,1.0
7,2017,22995.0,2,20075.0,1,150,42.2,2.0
4,2015,18998.0,2,49039.0,0,160,50.4,3.0
0,2016,13500.0,1,22780.0,1,30,58.9,1.4
7,2017,20300.0,0,42908.0,0,145,51.4,2.0
2,2016,11750.0,1,75185.0,0,20,70.6,2.0
0,2015,12995.0,1,21807.0,1,30,57.6,1.4
3,2019,29485.0,0,10.0,1,145,40.4,2.0
2,2017,13900.0,1,14392.0,1,145,53.3,1.4
1,2019,15700.0,1,2029.0,1,145,49.6,1.0
1,2017,16100.0,1,28955.0,1,145,58.9,1.4
1,2019,23377.0,1,4963.0,1,145,42.8,1.5
0,2014,11995.0,1,26141.0,1,125,53.3,1.4
2,2017,17698.0,1,18761.0,1,145,51.4,1.4
0,2016,10600.0,1,21428.0,1,0,67.3,1.0
3,2017,20200.0,0,13057.0,1,145,53.3,2.0
1,2017,16400.0,1,21695.0,1,30,58.9,1.4
1,2018,18990.0,1,6321.0,1,145,50.4,2.0
4,2019,29490.0,2,20.0,0,145,55.4,3.0
2,2016,17998.0,1,20885.0,0,30,64.2,2.0
2,2013,9400.0,1,39998.0,0,30,65.7,2.0
4,2016,19400.0,0,34030.0,0,125,58.9,2.0
0,2016,11000.0,1,29946.0,1,30,55.4,1.4
8,2019,37995.0,2,2712.0,0,145,38.2,2.0
12,2019,24995.0,2,12320.0,1,150,40.9,2.0
0,2016,11495.0,1,32867.0,1,0,67.3,1.0
4,2017,18500.0,0,29095.0,0,20,64.2,2.0
1,2015,11300.0,1,75619.0,0,20,68.9,2.0
0,2016,13900.0,0,32260.0,1,30,58.9,1.4
1,2015,14995.0,1,50062.0,1,30,57.6,1.2
1,2016,15995.0,1,14401.0,1,20,60.1,1.0
6,2017,18485.0,1,22501.0,0,145,64.2,1.6
3,2018,19800.0,1,20832.0,1,150,47.1,2.0
3,2014,13200.0,0,83872.0,0,125,58.9,2.0
1,2015,10200.0,1,46112.0,1,20,60.1,1.4
3,2019,27990.0,2,7215.0,0,145,46.3,2.0
10,2019,48348.63873015211,2,16385.0,0,150,33.6,3.0
3,2017,22998.0,2,26939.0,0,145,62.8,2.0
2,2018,15600.0,1,20070.0,1,145,52.3,1.4
4,2018,16600.0,0,22958.0,1,145,50.4,1.8
4,2016,16500.0,0,52198.0,0,125,57.6,2.0
1,2017,25995.0,1,13688.0,1,200,40.4,2.0
3,2020,37331.0,2,7532.0,1,145,39.2,2.0
3,2019,27995.0,0,10.0,1,145,40.4,2.0
2,2016,14300.0,1,45485.0,0,20,70.6,2.0
11,2017,23700.0,0,20278.0,1,145,38.7,3.0
4,2015,15400.0,1,47348.0,0,30,61.4,2.0
5,2018,40990.0,2,4440.0,1,145,37.7,3.0
2,2019,20495.0,2,4781.0,1,150,40.9,2.0
1,2014,10985.0,0,10534.0,1,30,56.5,1.2
2,2017,20000.0,0,20852.0,0,30,65.7,2.0
2,2017,16000.0,1,29063.0,0,145,70.6,2.0
2,2017,16800.0,0,25952.0,0,145,67.3,2.0
4,2019,33410.0,2,3968.0,0,145,47.9,2.0
6,2018,23995.0,1,16534.0,1,150,49.6,1.4
8,2015,18295.0,2,42793.0,0,205,47.1,2.0
1,2013,8300.0,1,86477.00345229918,0,0,74.3,1.6
7,2016,17200.0,0,39603.0,0,160,50.4,2.0
4,2016,13250.0,0,76788.0,0,30,61.4,2.0
0,2015,11995.0,1,31500.0,1,30,57.6,1.4
1,2016,19995.0,2,19430.0,1,145,47.9,2.0
5,2017,38985.0,0,1420.0,0,145,50.4,3.0
7,2016,15400.0,0,29196.0,0,145,55.4,2.0
7,2016,15200.0,0,58750.0,1,145,47.9,1.4
0,2016,12000.0,1,22451.0,1,30,55.4,1.4
4,2019,29990.0,2,5397.0,0,145,50.4,2.0
0,2014,11995.0,1,24764.0,0,0,74.3,1.6
5,2014,18998.0,2,24786.0,0,205,47.9,3.0
4,2016,16200.0,0,86477.00345229918,0,30,62.8,3.0
2,2017,14400.0,0,32097.0,0,145,72.4,2.0
7,2016,17000.0,1,44915.0,0,145,52.3,2.0
1,2017,18995.0,2,19735.0,1,30,57.6,1.4
3,2020,39454.0,2,7925.0,0,145,45.6,2.0
7,2019,31985.0,1,10.0,0,145,42.8,2.0
7,2016,14700.0,1,32704.0,0,30,60.1,2.0
2,2016,12750.0,1,52561.0,0,0,74.3,2.0
1,2017,14500.0,0,26156.0,1,145,58.9,1.4
2,2016,17495.0,2,41505.0,0,20,67.3,2.0
1,2015,14990.0,2,30530.0,0,30,64.2,2.0
7,2016,19995.0,2,31600.0,0,160,50.4,2.0
2,2015,15995.0,1,38787.0,0,145,55.4,2.0
0,2016,10800.0,1,18181.0,1,0,67.3,1.0
0,2017,14495.0,1,23655.0,1,30,55.4,1.4
1,2017,13995.0,1,36400.0,1,20,61.4,1.4
1,2019,23485.0,1,10.0,0,145,56.5,2.0
8,2017,30985.0,2,17502.0,1,145,40.4,2.0
4,2016,16600.0,1,32808.0,0,30,61.4,2.0
4,2019,33640.0,2,5023.0,0,145,47.9,2.0
6,2017,19995.0,2,18355.0,0,145,68.9,1.6
4,2018,28985.0,2,10.0,0,145,50.4,2.0
8,2017,26485.0,2,18000.0,0,150,56.5,2.0
1,2019,16000.0,1,5704.0,1,145,49.6,1.0
3,2019,30197.0,2,5210.0,1,145,39.8,2.0
3,2015,18990.0,2,43417.0,0,160,50.4,2.0
4,2019,33985.0,0,5429.0,0,145,47.9,2.0
8,2015,22485.0,2,38421.0,0,205,47.1,2.0
7,2017,21800.0,0,19319.0,1,145,40.4,2.0
7,2017,20995.0,2,26494.0,1,145,47.9,1.4
8,2016,30995.0,2,37129.0,0,235,42.2,3.0
9,2016,47995.0,2,46600.0,0,300,39.2,3.0
0,2017,13495.0,1,34554.0,1,150,55.4,1.4
1,2016,12500.0,1,19494.0,0,30,67.3,2.0
9,2018,47995.0,2,8618.0,0,145,32.8,3.0
3,2018,23998.0,2,14078.0,1,145,45.6,2.0
12,2019,29485.0,0,3000.0,1,145,40.9,2.0
1,2017,13100.0,1,25965.0,0,145,65.7,2.0
4,2019,48348.63873015211,2,6238.0,0,145,37.7,3.0
8,2017,26995.0,2,28604.0,1,145,40.9,2.0
7,2018,23985.0,2,17085.0,1,150,47.9,1.4
2,2017,16900.0,1,10959.0,1,145,51.4,1.4
3,2019,27022.0,2,3256.0,1,145,40.4,2.0
5,2018,35995.0,2,12195.0,0,145,50.4,3.0
6,2019,30985.0,0,2710.0,1,145,40.9,1.5
3,2015,16498.0,1,46637.0,0,30,61.4,2.0
4,2017,16200.0,1,22582.0,0,145,61.4,2.0
1,2018,19995.0,1,17789.0,1,145,54.3,1.5
6,2018,21995.0,1,9634.0,1,145,50.4,1.4
3,2015,17998.0,1,13312.0,0,125,57.6,2.0
4,2015,16985.0,1,34646.0,0,30,61.4,2.0
1,2016,8300.0,1,86477.00345229918,0,20,68.9,2.0
3,2019,30719.0,2,4520.0,1,145,39.8,2.0
0,2017,15995.0,1,15187.0,0,145,76.3,1.6
4,2018,26995.0,2,15600.0,0,145,50.4,2.0
0,2017,12485.0,1,48166.0,0,20,72.4,1.6
8,2016,19600.0,0,30201.0,0,200,47.1,2.0
2,2019,37560.0,2,5201.0,0,145,44.1,2.0
3,2018,27995.0,2,12686.0,0,145,58.9,3.0
9,2019,48348.63873015211,0,6423.0,0,145,33.2,3.0
1,2016,11998.0,1,24468.0,0,0,74.3,1.6
3,2017,18700.0,1,20052.0,1,145,49.6,2.0
3,2015,17498.0,2,35903.0,0,145,56.5,2.0
1,2019,19995.0,1,7307.0,0,145,51.4,1.6
7,2015,17498.0,2,40256.0,0,160,50.4,2.0
6,2019,22995.0,0,2402.0,0,145,47.9,1.6
